"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Start Date,End Date,Length,First Case,Fisrt case / lockdown
CAR,15368,,113,,15200.0,,55.0,2.0,3063,23.0,81294.0,16205.0,5016678,Africa,326,44395.0,62.0,,,11.0,,,,,0
Gambia,12626,,372,,12189.0,,65.0,,4935,145.0,155686.0,60851.0,2558482,Africa,203,6878.0,16.0,,,25.0,,,,2020-03-17,0
Saint Martin,12324,,63,,1399.0,,10862.0,7.0,310194,1586.0,112382.0,2828643.0,39730,North America,3,631.0,0.0,,,273395.0,,,,2020-03-01,0
Vanuatu,12019,,14,,11976.0,,29.0,,37346,44.0,24976.0,77606.0,321832,Australia/Oceania,27,22988.0,13.0,,,90.0,,,,2020-11-11,0
Greenland,11971,,21,,2761.0,,9189.0,4.0,210117,369.0,164926.0,2894810.0,56973,North America,5,2713.0,0.0,,,161287.0,,,,2020-03-16,0
Yemen,11945,,2159,,9124.0,,662.0,23.0,383,69.0,329592.0,10579.0,31154867,Asia,2608,14430.0,95.0,,,21.0,,,,2020-04-10,0
Caribbean Netherlands,11682,,38,,10476.0,,1168.0,,438398,1426.0,30126.0,1130559.0,26647,North America,2,701.0,1.0,,,43832.0,,,,,0
Sint Maarten,11051,,92,,10905.0,,54.0,,251353,2093.0,62056.0,1411454.0,43966,North America,4,478.0,1.0,,,1228.0,,,,2020-03-17,0
Niger,9931,,312,,8890.0,,729.0,1.0,381,12.0,254538.0,9759.0,26083660,Africa,2626,83601.0,102.0,,,28.0,,,,2020-03-19,0
St. Vincent Grenadines,9631,,124,,9493.0,,14.0,,86337,1112.0,114197.0,1023720.0,111551,North America,12,900.0,1.0,,,126.0,,,,,0
Guinea-Bissau,9614,,177,,8929.0,,508.0,6.0,4659,86.0,145231.0,70385.0,2063367,Africa,215,11657.0,14.0,,,246.0,,,,2020-03-25,0
Comoros,9109,,161,,8939.0,,9.0,,10038,177.0,,,907419,Africa,100,5636.0,,,,10.0,,,,2020-04-30,0
Antigua and Barbuda,9106,,146,,8954.0,,6.0,1.0,91509,1467.0,18901.0,189943.0,99509,North America,11,682.0,5.0,,,60.0,,,,2020-03-13,0
Liberia,8090,,295,,7783.0,,12.0,2.0,1525,56.0,139824.0,26356.0,5305117,Africa,656,17983.0,38.0,,,2.0,,,,2020-03-16,0
Sierra Leone,7762,,126,,,,,,934,15.0,259958.0,31296.0,8306436,Africa,1070,65924.0,32.0,,,330.0,,,,2020-03-31,0
Chad,7701,,194,,4874.0,,2633.0,,442,11.0,191341.0,10988.0,17413580,Africa,2261,89761.0,91.0,,,151.0,,,,2020-03-19,0
British Virgin Islands,7305,,64,,,,,,238757,2092.0,107339.0,3508269.0,30596,North America,4,478.0,0.0,,,392.0,,,,2020-03-25,0
Turks and Caicos,6630,,39,,6576.0,,15.0,4.0,166830,981.0,614852.0,15471478.0,39741,North America,6,1019.0,0.0,,,377.0,,,,,0
Sao Tome and Principe,6596,,80,,6515.0,,1.0,,28971,351.0,29036.0,127530.0,227679,Africa,35,2846.0,8.0,,,4.0,,,,,0
Palau,6228,,9,,6211.0,,8.0,,341578,494.0,70599.0,3872045.0,18233,Australia/Oceania,3,2026.0,0.0,,,439.0,,,,2021-05-31,0
