,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,first_case,Start date,End date,Length (days),Level
41,New Zealand,2336352,,"4,202                                ",,"2,321,339",,"10,811",,"476,981",858,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,2,"1,166",1,,,"2,207",28 February 2020,2020-03-23,2020-05-13,52,National
42,Hungary,2202179,,"48,859                                ",,"2,149,848",,"3,472",8,"229,244","5,086","11,394,556","1,186,160","9,606,259 ",Europe,4,197,1,,,361,4 March 2020,2020-03-28,2020-04-10,13,National
43,Bangladesh,2038384,,"29,446                                ",,"1,998,448",,"10,490",N/A,"12,141",175,"15,254,399","90,862","167,885,689 ",Asia,82,"5,701",11,,,62,8 March 2020,2020-03-26,2020-05-16,51,National
44,Slovakia,1866647,,"21,167                                ",,"1,845,145",,335,13,"341,865","3,877","7,428,816","1,360,541","5,460,193 ",Europe,3,258,1,,,61,6 March 2020,Non-Lockdown,,,
45,Georgia,1840187,,"17,059                                ",,"1,776,548",,"46,580",,"463,671","4,298","16,920,079","4,263,340","3,968,738 ",Asia,2,233,0,,,"11,737",26 February 2020,2020-03-31,2020-04-21,21,National
46,Jordan,1746997,,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,6,729,1,,,181,2 March 2020,2020-03-18,2020-04-30,43,National
47,Ireland,1711233,,"8,905                                ",,"1,699,569",,"2,759",19,"340,870","1,774","13,083,449","2,606,161","5,020,199 ",Europe,3,564,0,,,550,29 February 2020,2020-03-12,2020-05-18,67,National
48,Pakistan,1580900,,"30,660                                ",,"1,538,689",,"11,551",9,"6,889",134,"30,571,377","133,215","229,488,994 ",Asia,145,"7,485",8,,,50,26 February 2020,2020-03-24,2020-05-09,46,National
49,Norway,1483454,,"5,435                                ",,"1,477,396",73,623,20,"269,162",986,"11,002,430","1,996,315","5,511,370 ",Europe,4,"1,014",1,,,113,26 February 2020,Non-Lockdown,,,
50,Finland,1475378,,"9,373                                ",,"1,461,677",186,"4,328",21,"265,597","1,687","12,090,288","2,176,485","5,554,960 ",Europe,4,593,0,,,779,29 January 2020,2021-03-08,2021-03-28,20,National
51,Kazakhstan,1411831,,"13,848                                ",,"1,383,020",,"14,963",24,"73,514",721,"11,575,012","602,707","19,205,043 ",Asia,14,"1,387",2,,,779,13 March 2020,Non-Lockdown,,,
